Id,Title,Like,URL,Author,Reasons,Year,Venues
30,stanley: the robot that won the darpa grand challenge,1,http://isl.ecst.csuchico.edu/DOCS/darpa2005/DARPA%202005%20Stanley.pdf,Sebastian Thrun|Mike Montemerlo|Hendrik Dahlkamp|David Stavens|Andrei Aron|James Diebel|Philip Fong|John Gale|Morgan Halpenny|Gabriel Hoffmann|Kenny Lau|Celia Oakley|Mark Palatucci|Vaughan Pratt|and Pascal Stang,There would not be this much focus on robotics and learning if not for self-driving cars. Self-driving cars would not be a thing without Stanley.,2006,Journal of Robotic Systems
31,applied nonlinear control,1,https://www.amazon.com/Applied-Nonlinear-Control-Jean-Jacques-Slotine/dp/0130408905,Jean-Jacques E Slotine|Weiping Li,It laid the basis for adaptive nonlinear control commonly used in robotic control.,2001,Book
32,on learning|representing and generalizing a task in a humanoid robot,1,https://www.cs.utexas.edu/users/sniekum/classes/RLFD-F15/papers/Calinon07.pdf,Sylvain Calinon|Florent Guenter and Aude Billard,First work to explicitly represent motion variance for motion generation. ,2007,IEEE Transactions on Systems|Man|and Cybernetics|Part B (Cybernetics) (Volume 27|Issue 2)
33,everyday robotic action: lessons from human action control,1,https://www.frontiersin.org/articles/10.3389/fnbot.2014.00013/full,Roy de Kleijn|George Kachergis|Bernhard Hommel,Roboticists are not the only researchers working on motion representation and generation. Researchers on human motor control approach the problem from a different angle|and their work has often served as an inspiration for me. This paper provides a very nice|easy to understand overview of some topics in the field of human action control|with many interesting citations to follow up. ,2014,Frontiers in NeuroRobotics
34,a survey of iterative learning control,1,https://ieeexplore.ieee.org/document/1636313,D.A. Bristow|M. Tharayil|A.G. Alleyne,The content of the paper provides the reader with a broad perspective of the important ideas|potential|and limitations of iterative learning control - ILC. Besides the design techniques|it discusses problems in stability|performance|learning transient behavior|and robustness.,2006,IEEE Control Systems Magazine (Volume 26|Issue 3)
35,efficient reinforcement learning with relocatable action models,1,https://www.aaai.org/Papers/AAAI/2007/AAAI07-090.pdf,Bethany R. Leffler|Michael L. Littman|Timothy Edmunds,"This paper from 2007 was the culmination of a thread of reinforcement 
learning research on relocatable action models.  The premise is that 
states can be clustered into types such that actions taken in states 
of the same type have similar effects.  This paper was the first to 
study implementation of such an idea on a real robot|and shows 
impressive results.  It's a great example of the creative robot 
demonstrations from Michael Littman's lab at a time when most learning 
was limited to simulation.",2007,AAAI Conference on Artificial Intelligence
36,aibo ingenuity,1,https://www.youtube.com/watch?v=y06TMZB-Qvk,Michael Littman|Tom Walsh|Ali Nourl|Bethany Leffler|Timothy Edmunds|Jill Littman|Cameron Detulleo|Christopher Metcalf|Jonathan Metcalf|Charles Isbell|Joni Isbell,"This brief video from 2007 summarizes some very creative 
demonstrations of learning on Aibo robots in an environment that 
requires exploration.  I love this work because they created a sort of 
""playpen"" for the robot that had interesting features at just the 
right level of difficulty to allow the robot to learn intereting 
behaviors - in the same way that playpen environments are designed for 
human infants.  It's a great example of the creative robot 
demonstrations from Michael Littman's lab at a time when most learning 
was limited to simulation.  Though not associated with any 
publication|some related research|also including robot experiments|
appears in 
https://link.springer.com/content/pdf/10.1007/s10994-010-5202-y.pdf",2007,YouTube
37,coordination of multiple behaviors acquired by vision-based reinforcement learning,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.472.7162&rep=rep1&type=pdf,Minoru Asada|Eiji Uchibe|Shoichi Noda|Sukoya Tawaratsumida|Koh Hosoda,"This paper is representative of a body of work from Minoru Asada's lab in the mid 1990's that was some of the first examples of machine learning in the robot soccer domain|some of the first reinforcement learning on real robots|some of the first RL from visual inputs|and some of the first multirobot learning|all wrapped into one.  They introduced several methods for aggressively reducing the sample complexity needed for learning on real robots|such as ""learning from easy missions.""",1994,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
38,optimization-based iterative learning for precise quadrocopter trajectory tracking,1,https://link.springer.com/article/10.1007/s10514-012-9283-2,Angela Schoellig. Raffaello D'Andrea,"The authors propose an iterative approach to improve the flight controller in a quadcopter during repetitive task execution. While at a high-level|the paper has the same general setting as recent work in policy learning and robotics|it takes a very different approach that is grounded in control theory and state estimation. In my opinion|this paper is one of the best examples of ""model-based"" learning in robotics from both an algorithmic and a systems perspective. The task studied is dynamic|has non-trivial dynamic disturbances|and the proposed control technique is theoretically justified while being simple enough to analyze---also it worked.",2012,Autonomous Robots Journal
39,simultaneous adversarial multi-robot learning,1,http://www.cs.cmu.edu/~mmv/papers/03ijcai-grawolf.pdf,Michael Bowling|Manuela Veloso,This paper is one of the earliest works demonstrating multiagent reinforcement learning on a real robot. The work was also an early demonstration of improving policies learned in a physics simulation using learning on robots (sim2real).  Finally|the video of the robots' learned policies was one of the first robot demo videos to be slowed down on playback rather than sped up.,2003,International Joint Conferences on Artificial Intelligence 
40,automatic gait optimization with gaussian process regression,1,https://www.ijcai.org/Proceedings/07/Papers/152.pdf,Daniel Lizotte|Tao Wang|Michael Bowling|Dale Schuurmans,"This paper is from the line of papers on Aibo Gate optimization 
started by Kohl and Stone in 2004.  This paper introduced the idea of 
using Gaussian process regression for learning so as to avoid local 
optima|make full use of all historical data|and explicitly model 
noise in gait evaluation.  The authors acheived impressive results for 
optimizing both speed and smoothness with dramatically fewer gait 
evaluations than prior approaches.",2007,International Joint Conference on Artificial Intelligence
41,learning object affordances: from sensory - motor coordination to imitation,2,https://ieeexplore.ieee.org/document/4456755,Luis Montesano|Manuel Lopes|Alexandre Bernardino|Member|IEEE|Jose Santos-Victor,This is a very good illustration of the concept of affordance|that present an approach to learn object related actions and exploit these learned affordances for imitation. Affordances is a key concept to present in robotics learning as it tightly integrate perception and action. I may have included Gibson's paper on affordances|but I preferred a concrete example of robotic application.~Affordances have been very influential in robotics in the last decade and this study laid the foundations of affordance-based robot learning research that emphasizes importance of exploration; and learning the relation between objects|actions and the observed effects. They showed how learned affordances can be used for goal-oriented action execution and for imitation.,2008,IEEE Transactions on Robotics (Volume 24|Issue 1)
42,embed to control: a locally linear latent dynamics model for control from raw images,1,https://arxiv.org/abs/1506.07365,Manuel Watter|Jost Tobias Springenberg|Joschka Boedecker|Martin Riedmiller,This work shows how the idea of representation learning fundamental in deep learning can take advantage of the robotics context. The learned representation is specifically constrained to be efficient in an optimal control setting and is made to produce simple|locally linear models from vision that made control efficient. This is also an excellent example on how to integrate learning while taking advantage of known efficient algorithms (optimal control) instead of going to monolithic end-to-end approaches.,2015,Neural Information Processing Systems Conference (NeurIPS)
43,robots that can adapt like animals,1,https://arxiv.org/abs/1407.3501,Antoine Cully|Jeff Clune|Danesh Tarapore|Jean-Baptiste Mouret,because it shows how you can leverage models in simulation for learning how to recover from damages|without necessarily re-learning the damaged model. Also|they learn in very few trials on the real robot|which is fundamental when working with real robots and experiments are expensive,2015,Nature
44,scalable techniques from nonparametric statistics for real time robot learning,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.2374&rep=rep1&type=pdf,Stefan Schaal|Christopher G. Atkeson|Sethu Vijayakumar,Milestone paper on model learning|which inspired me for the next decade to come. Subsumes much of the later work|e.g.|of Russ Tedrake.,2002,Applied Intelligence Journal
45,prioritized sweeping: reinforcement learning with less data and less time,1,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=7C74DA6B9B7C60A26D9EAF62242C10B9?doi=10.1.1.28.7241&rep=rep1&type=pdf,Andrew W. Moore|Christopher G. Atkeson,Quintessential technical insights|super important up to today.,1993,Machine Learning Journal
46,biped dynamic walking using reinforcement learning,1,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=ABA8B9A9C6FC9C1B1AA05779A20B2714?doi=10.1.1.99.6229&rep=rep1&type=pdf,Hamid Benbrahim,Totally overlooked work that employs policy gradients with multiple nested CMAC neural networks. One could give Benbrahim credit for having done much of OpenAI's stuff 20 years earlier.,1997,University of New Hampshire
47,variational inference for policy search in changing situations,1,https://icml.cc/2011/papers/441_icmlpaper.pdf,Gerhard Neumann,Breakthrough work on policy search which preceded much following work on inference-based RL and is totally under appreciated by many authors who have (often knowingly) build upon it. It was kind of direction change in the field but is not given the proper credit.,2011,International Conference on Machine Learning
48,probabilistic inference as a model of planned behavior,1,https://pdfs.semanticscholar.org/ab01/cdba07ffc7163ea53640965e0057025a5456.pdf,Marc Toussaint,Very inspiring paper,2009,KI
49,teachable robots: understanding human teaching behavior to build more effective robot learners,1,https://www.cc.gatech.edu/~athomaz/papers/ThomazBreazeal-AIJ.pdf,Andrea L. Thomaz|Cynthia Breazeal,One of the first work emphasizing and studying the importance of understanding the behaviour of non-expert users in defining robot learning problems and solutions.,2006,Artificial Intelligence Journal
50,robot skill learning: from reinforcement learning to evolution strategies,1,https://www.degruyter.com/downloadpdf/j/pjbr.2013.4.issue-1/pjbr-2013-0003/pjbr-2013-0003.pdf,Freek Stulp|Olivier Sigaud,Synthesizing and unifying several generations of work using RL for robotics|converging to algorithms that are identifiable with evolution strategies coming from the evolutionary computation literature. ,2013,Paladyn
51,developmental robotics: from babies to robots,1,https://www.researchgate.net/publication/290749036_Developmental_Robotics_From_Babies_to_Robots,A Cangelosi|M Schlesinger,This book gave the first broad overview of the field of developmental robotics. ,2015,Book
52,robot learning from human teachers,1,https://www.morganclaypool.com/doi/abs/10.2200/S00568ED1V01Y201402AIM028,Sonia Chernova|Andrea L. Thomaz,A great introduction and overview to Learning from Demonstration,2014,Chapter in Synthesis Lectures on Artificial Intelligence and Machine Learning
53,a bayesian view on motor control and planning,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.150.3243&rep=rep1&type=pdf,Marc Toussaint|Christian Goerick,This paper nicely introduces the relation between classical robot control algorithms and probabilistic inference.  Not all of the introduced concepts have been novel but I think this paper contains nice examples and a good overview and helped me to start to think about robot control in a new way.,2010,Studies in Computational Intelligence (SCI|volume 264)
54,motion planning under uncertainty using iterative local optimization in belief space,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.307.6750&rep=rep1&type=pdf,Jur van den Berg|Sachin Patil|Ron Alterovitz,This paper presents on of the first efficient solutions for continuous PoMDPs.  Many follow up papers for solving PoMDPs used similar ideas (i.e.|trajectory optimization in belief state). While the application of this algorithm was mainly limited to simulation|solving continuous MDPs  is a very important topic for robotics. which I expect to also have much more impact in the future.,2012,International Journal of Robotics Research
55,mujoco (software),1,https://homes.cs.washington.edu/~todorov/papers/TodorovIROS12.pdf,Emanuel Todorov|Tom Erez and Yuval Tassa,Mujoco (together with Bullet) is probably the most popular simulator for learning based robotics. It's built with robotics research in mind (as opposed to many other simulators that were initially built for games)|and consequently has a lot of flexibility around things that matter for robotics|like physical realism|sensors|actuation models|tendons|and so on. It has a clean and easy-to-use interface and is extremely fast|both which are useful features for iterating on new research.,2012,Software 
56,cad2rl: real single-image flight without a single real image,1,https://arxiv.org/abs/1611.04201,Fereshteh Sadeghi|Sergey Levine,The CAD2RL paper demonstrated that it was possible to train a policy|using Reinforcement Learning|entirely in simulation and zero-shot transfer it to a real world robot. It paved the way for a lot of follow up work on domain transfer and domain randomization for robotic perception and control.,2017,Robotics: Science and Systems Conference
57,algorithms for inverse reinforcement learning,1,https://ai.stanford.edu/~ang/papers/icml00-irl.pdf,Andrew Y. Ng|Stuart Russell,Another influential work that gives a new and useful perspective on inverse optimal control|and has many interesting followups including the PhD work of Pieter Abbeel.,2000,International Conference on Machine Learning
58,imagenet classification with deep convolutional neural networks,1,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,Alex Krizhevsky|Ilya Sutskever|Geoffrey E. Hinton,Because it significantly boosts perception and deep learning for robot vision these days is heavily relying on this work. ,2012,Communications of the ACM
59,generative adversarial nets,1,https://arxiv.org/abs/1406.2661,Ian J. Goodfellow|Jean Pouget-Abadie|Mehdi Mirza|Bing Xu|David Warde-Farley|Sherjil Ozair|Aaron Courville|Yoshua Bengio,Because it introduces a new way of learning that shows a substantially improved behavior.  ,2014,Neural Information Processing Systems Conference (NeurIPS)
60,deep residual learning for image recognition,1,https://arxiv.org/abs/1512.03385,Kaiming He|Xiangyu Zhang|Shaoqing Ren|Jian Sun,Because it introduces away to train substantially deeper networks and thus provides substantially better results.,2015, IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
61,is imitation learning the route to humanoid robots?,1,http://web.media.mit.edu/~cynthiab/Readings/schaal-TICS1999.pdf,Stefan Schaal,"I think this work is a seminal work on imitation learning|which is a fundamental framework in the field of robot learning.~This landmark review paper is a great introduction to learning from demonstration|learning from observation and imitation learning both from a computational and biological standpoint. It highlights three important issues in imitation learning|""efficient motor learning|the connection between action and perception|and modular motor control in form of movement primitives‚"". From the paper's abstract|""Computational approaches to imitation learning will also be described|initially from the perspective of traditional AI and robotics|but also from the perspective of neural network models and statistical learning research. Parallels and differences between biological and computational approaches to imitation will be highlighted.‚""",1999,Trends in Cognitive Sciences
62,policy search for motor primitives in robotics,1,https://papers.nips.cc/paper/3545-policy-search-for-motor-primitives-in-robotics.pdf,Jens Kober|Jan Peters,This work was published before the recent AI boom. It presents impressive results of imitation and reinforcement learning|which are still remarkable now.,2009,Machine Learning Journal
63,iterative linearization methods for approximately optimal control and estimation of non-linear stochastic system,1,https://homes.cs.washington.edu/~todorov/papers/LiIntJCon07.pdf,W. LI|E. TODOROV,This paper presents one of the effective and fundamental optimal control framework for nonlinear systems. This framework (including DDP) and its extensions have been widely applied to in motion planning and generation in complex robotic systems. This work is quite influential in the field of motion generation and control of robotic systems. After the publication of this paper|there have been many follow-up studies on the application of this kind of optimal control approaches to robot motion control.,2007,International Journal of Control
64,an autonomous manipulation system based on force control and optimization,1,https://www.academia.edu/12910741/An_autonomous_manipulation_system_based_on_force_control_and_optimization,Ludovic Righetti|Mrinal Kalakrishnan|Peter Pastor|Jonathan Binney|Jonathan Kelly|Randolph C. Voorhies|Gaurav Sukhatme|Stefan Schaal,This paper presents a comprehensive description of a complete system architecture for autonomous manipulation of challenging objects covering from low-level control|sensing and calibration to high-level planning and behavior generation. This paper experimentally demonstrates robust and competitive performance in a wide variety of manipulation tasks on robot hardware in a real-world situation. ,2014,Autonomous Robots Journal
65,learning for control from multiple demonstrations,1,https://ai.stanford.edu/~ang/papers/icml08-LearningForControlFromMultipleDemonstrations.pdf,Adam Coates|Pieter Abbeel|Andrew Y. Ng,An early paper that made learning control popular and showed that ML based control methods can be successfully applied to the real world. ,2008,International conference on Machine Learning
66,qt-opt: scalable deep reinforcement learning for vision-based robotic manipulation,1,https://arxiv.org/abs/1806.10293,Dmitry Kalashnikov|Alex Irpan|Peter Pastor|Julian Ibarz|Alexander Herzog|Eric Jang|Deirdre Quillen|Ethan Holly|Mrinal Kalakrishnan|Vincent Vanhoucke|Sergey Levine,The paper shows that replay buffer based RL methods can be successfully applied to large scale robotic applications. We will see more of this kind of work in the future.,2018,conference on robot learning
67,discovery of complex behaviors through contact-invariant optimization,1,https://homes.cs.washington.edu/~todorov/papers/MordatchSIGGRAPH12.pdf,Igor Mordatch|Emanuel Todorov|Zoran Popovic,The paper demonstrates that with an accurate internal model|planning of complex behaviors including contacts and dynamic interaction with the environment is possible from scratch. I see it as an important result supporting the need for good internal representations|which in the case of real-world interactions need to be at least partially learned.,2012,ACM Transactions on Graphics
68,intrinsically motivated goal exploration processes with automatic curriculum learning,1,https://arxiv.org/abs/1708.02190,Sebastien Forestier|Yoan Mollard|Pierre-Yves Oudeyer,The paper shows how an agent/robot can find out by itself how to manipulate its environment from a simple intrinsic motivation. In my eyes|this is the first practical demonstration of Schmidhuber's idea on learning progress maximization which is probably one of the most powerful generic drives. The paper shows how an agent can  discover more and more complex interactions with an environment without a specific task in mind. I believe these kinds of studies are important steps towards an intelligently learning robot.,2017,arXiv
69,deep reinforcement learning in a handful of trials using probabilistic dynamics models,1,https://arxiv.org/abs/1805.12114,Kurtland Chua|Roberto Calandra|Rowan McAllister|Sergey Levine,Model-based reinforcement learning had the image of not performing well in comparison to model-free methods on complicated problems. However|conceptually|model-based methods have many advantages when it comes to data-efficiency and transfer between tasks. This paper shows that with ensemble models state-of-the-art robotic learning benchmarks (Gym-Mujoco environments) can be solved with high performance in significantly fewer steps. The data-efficiency is particularly important for real robot applications.,2018,Neural Information Processing Systems Conference (NeurIPS)
70,robotics|vision and control - fundamental algorithms in matlab,1,http://www.petercorke.com/MVTB/vision.pdf,Peter Corke,I've encouraged countless students to read this book. It provides a broad overview of robotics|with inline code samples that instantly generate interactive demos using the author's robotics toolbox for Matlab. I personally dislike Matlab|but the quality of the author's toolbox and its illustrative power were worth the Matlab pain.,2015,Book
71,pattern recognition and machine learning,1,http://users.isr.ist.utl.pt/~wurmd/Livros/school/Bishop%20-%20Pattern%20Recognition%20And%20Machine%20Learning%20-%20Springer%20%202006.pdf,Christopher M. Bishop,A wonderful overview of pattern matching/machine learning minus DNNs.,2006,Book
72,data-driven grasp synthesis-a survey,1,https://arxiv.org/abs/1309.2660.pdf,Jeannette Bohg|Antonio Morales|Tamim Asfour|Member|Danica Kragic,Most awesome review paper ;-),2016,IEEE Transactions on Robotics (Volume 30|Issue 2)
73,a simple learning strategy for high-speed quadrocopter multi-flips,1,https://www.flyingmachinearena.ethz.ch/wp-content/publications/2010/lupashin2010-AdaptiveFlips.pdf,Sergei Lupashin|Angela Schoellig|Michael Sherback|Raffaello D'Andrea,This work is the first to show highly agile|multiple flips with state-of-the-art quadrotors. The proposed learning strategy leverages first-principles modeling to obtain a suitable parameterization for the quadcopter multi-flips|and a systematic approach for finding optimal parameters from data. The method is thus an excellent example for combining the strength of both first-principles models and data-based learning. Each approach on its own (i.e. a purely model-based approach or a purely data-driven approach) would have had difficulty to succeed for this challenging application because modeling all effects relevant for high-speed flips is extremely challenging|and purely data-based approaches can't be applied (easily) because the problem is highly unstable. Another strength of the paper lies in the (conceptual) simplicity of the proposed learning strategy|which makes it widely applicable for learning problems in robotics.,2010,IEEE International Conference on Robotics and Automation (ICRA)
74,dynamic programming and optimal control (vol. i+ii),1,https://www.amazon.com/Dynamic-Programming-Optimal-Control-Vol/dp/1886529086,D.P. Bertsekas,"The optimal control formulation and the dynamic programming algorithm are the theoretical foundation of many approaches on learning for control and reinforcement learning (RL). In brief|many RL problems can be understood as optimal control|but without a-priori knowledge of a model. Thus|many algorithms and understanding in RL and robot learning build on optimal control. The series of books by Bertsekas provide an excellent introduction and reference into this field. While the first volume addresses primarily classical (model-based) optimal control|the second volume treats approximate dynamic programming|which includes addressing optimal control/dynamic programming problems with sampling-based methods. While these books do not directly target (machine) learning techniques|the underlying principles are key for addressing learning in robotics|and I thus consider these books as absolutely fundamental for this area.  (Coincidentally|the new edition of Bertsekas' textbooks|which is announced for this year|will be called ""Reinforcement Learning and Optimal Control‚"".)",2017,Book
75,planning and acting in partially observable stochastic domains,1,https://people.csail.mit.edu/lpk/papers/aij98-pomdp.pdf,Leslie Pack Kaelbling|Michael L. Littman|Anthony R. Cassandra,This paper provides an easy to understand introduction to MDP and POMDP|which is the basis for understanding Reinforcement Learning and Bayesian Reinforcement Learning ---two learning techniques commonly used to combine planning and learning in robotics. I usually ask beginning research students (honours / 1st year MPhil/PhD) to read this paper.,1998,Artificial Intelligence 101
76,reinforcement learning: a survey,1,https://arxiv.org/abs/cs/9605103.pdf,Leslie Pack Kaelbling|Michael L. Littman|Andrew W. Moore,"This work provides a relatively short and easy to understand introduction to Reinforcement Learning. Although rather old and therefore does not cover the new approaches to reinforcement learning|it covers the problem of RL very well. I usually ask beginning students interested in reinforcement learning to read this paper together with the more recent ""Reinforcement Learning in Robotics: A Survey"" by Jens Kober|Andrew Bagnell|and Jan Peters|and deep learning approaches to reinforcement learning.",1996,Journal of Artificial Intelligence Research
77,value iteration networks,1,https://arxiv.org/abs/1602.02867,Aviv Tamar|Yi Wu|Garrett Thomas|Sergey Levine|Pieter Abbeel,To my knowledge|this is the first paper that embeds a planner into a deep neural net framework|combining learning and planning in a more seamless manner. The paper provides some semantic on the convolution operation and shows the potential of such an approach. I think many useful methods in robotics could be derived from this work.,2017,Advances in Neural Information Processing Systems
78,reinforcement learning of motor skills with policy gradients,1,http://is.tuebingen.mpg.de/fileadmin/user_upload/files/publications/Neural-Netw-2008-21-682_4867[0].pdf,Jan Peters|Stefan Schaal,This paper presents some of the early method to learn high-dimensional parameters|which is important in robot manipulation. It presents a non-trivial combination of the authors' earlier work in learning motor skills|that aside from learning how reinforcement learning can be used to learn high-dimensional parameters|it also provide a good short summary of relevant work (up to that point).,2008,Robotics and Neuroscience
79,trajectories and keyframes for kinesthetic teaching: a human-robot interaction perspective,1,http://www.cs.utexas.edu/users/sniekum/classes/RLFD-F16/papers/Akgun12.pdf,Baris Akgun|Maya Cakmak|Jae Wook Yoo|Andrea L. Thomaz,Most industrial robots are still programmed by manually jogging positions via a teach pendant|but kinesthetic (lead-by-the-nose) interfaces for specifying robot tasks are becoming more common.  This paper presents a user study comparing kinesthetic teaching via trajectory recording to teaching via demonstrating sparse keyframes that can be connected to perform a skill.  The authors show that both are useful--the latter for demonstrating goal-oriented skills|and the former for demonstrating means-oriented skills--and also discuss an intuitive hybrid interface that allows users to use both types in a single demonstration.  Simple yet practical methods like this for teaching robot skills are often ignored in academic papers.,2012,ACM/IEEE international conference on Human-Robot Interaction
80,learning grasping points with shape context,1,https://is.tuebingen.mpg.de/uploads_file/attachment/attachment/308/2009_ijra_bk.pdf,Jeannette Bohg|Danica Kragic,This is one of the first works in literature that utilized machine learning for the robotic manipulation problem. The proposed framework is still useful to design similar robot learning solutions. The particular importance of this work is to use a global representation of a target object (goal) for manipulation planning,2009,International Conference on Advanced Robotics
81,domain randomization for transferring deep neural networks from simulation to the real world,1,https://arxiv.org/abs/1703.06907,Josh Tobin|Rachel Fong|Alex Ray|Jonas Schneider|Wojciech Zaremba|Pieter Abbeel,The work focuses on one of the most important problems related to utilizing CNNs for robotics problems: transferring policies from simulations to real world. Effective solutions are presented together with promising results.,2017,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
82,one-shot imitation learning,1,https://arxiv.org/abs/1703.07326,Yan Duan|Marcin Andrychowicz|Bradly C. Stadie|Jonathan Ho|Jonas Schneider|Ilya Sutskever|Pieter Abbeel|Wojciech Zaremba,This paper focuses on a very challenging problem in robot learning|which is obtaining a generalized policy of a task using a very limited user supervision. The presented framework has a great potential to design robot learning algorithms with realistic data expectations.,2017,Neural Information Processing Systems Conference (NeurIPS)
83,reinforcement learning and optimal control,1,http://www.mit.edu/~dimitrib/RL_Frontmatter-SHORT-INTERNET-POSTED.pdf,Dimitri P. Bertsekas,an accessible take on reinforcement learning that pairs well with the classic and influential book(s) on Dynamic Programming by Bertsekas,2019,Book
84,an algorithmic perspective on imitation learning,1,https://arxiv.org/abs/1811.06711,Takayuki Osa|Joni Pajarinen|Gerhard Neumann|J. Andrew Bagnell|Pieter Abbeel|Jan Peters,A focused overview of imitation learning and perspectives from some of the leaders in the field. Not a complete review but an excellent highlighting of important contributions in the field and perspective on future challenges.,2018,Foundations and Trends in Robotics
85,evolution of corridor following behavior in a noisy world,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.53.953&rep=rep1&type=pdf,Craig W. Reynolds,The work features the automatic synthesis of a symbolic robot controller in a non-deterministic environment via genetic programming. Despite being an early paper on robot learning it features a combination of many aspects that are often not found in modern papers|i.e.|(1) learning of explainable|symbolic code|(2) automatic sensor placement|(3) strong non-determinism. Reynolds even goes to great lengths to analyse the code generated by the evolutionary process and identifies a more general framework for how a good solution looks like. Structure  and interpretability play an important role in this paper.,1994,International Conference on Simulation of Adaptive Behavior
86,reinforcement learning for robot soccer,1,http://ml.informatik.uni-freiburg.de/former/_media/publications/gr_09.pdf,Martin Riedmiller|Thomas Gabel|Roland Hafner|Sascha Lange,This paper describes a decade's worth of research on reinforcement learning in the RoboCup competition by the group led by Martin Riedmiller. In essence|it describes the foundation of deep reinforcement learning before the modern hype started. This includes algorithms that have become a stable of deep RL|such as neural-fitted Q iteration. However|what makes this paper stand out even today is that it shows how to put together an entire system only out of RL-synthesized components. Martin and his team repeatedly won world championships using this approach and he later went on to become an influential figure at DeepMind.,2009,Auton Robot
87,evolving virtual creatures,1,https://www.karlsims.com/papers/siggraph94.pdf,Karl Sims,This paper demonstrated that machine learning and optimization do not have to be restricted to the generation of behavior of a robot. Rather|morphology and shape of an agent can be changed and optimized in an automatic fashion|too. In doing so|the paper created some of the first complex (an extremely impressive and life-like) examples of artificial creatures whose brain and body are fully synthesized. The video accompanying this paper is one of the best research videos out there. The paper has also spawned a number of follow ups|in particular by the group of Hod Lipson at Columbia.,1994,SIGGRAPH
88,the cityscapes dataset for semantic urban scene understanding,1,https://arxiv.org/abs/1604.01685,Marius Cordts|Mohamed Omran|Sebastian Ramos|Timo Rehfeld|Markus Enzweiler|Rodrigo Benenson|Uwe Franke|Stefan Roth|Bernt Schiele,Deep Learning has transformed the Robot Learning field completely in the last year. Whereas e.g. Computer Vision applications have access to large volumes of data (necessary to train DNNs)|Robotics applications generally suffer from the problem of collecting enough data for learning tasks. The KITTI dataset is one example of a great effort to provide relevant data for Robot (or autonomous vehicle) Learning.,2016,IEEE Conference on Computer Vision and Pattern Recognition
89,a large dataset to train convolutional networks for disparity|optical flow|and scene flow estimation,1,https://arxiv.org/abc/1512.02134.pdf,Nikolaus Mayer|Eddy Ilg|Philip Hausser|Philipp Fischer|Daniel Cremers|Alexey Dosovitskiy|Thomas Brox,Deep Learning has transformed the Robot Learning field completely in the last year. Whereas e.g. Computer Vision applications have access to large volumes of data (necessary to train DNNs)|Robotics applications generally suffer from the problem of collecting enough data for learning tasks. A very useful approach is to generate synthetic data. The FlowNet dataset is such an example.,2015,IEEE Conference on Computer Vision and Pattern Recognition
90,deep reinforcement learning,1,https://arxiv.org/abs/1810.06339,Yuxi Li,A huge bottleneck in Robot Learning is supervision during training. A breakthrough came when DNNs could be leveraged for reinforcement learning. This paper|I believe|is a good introduction.,2018,Under review for Morgan & Claypool: Synthesis Lectures in Artificial Intelligence and Machine Learning
91,guided policy search,1,https://graphics.stanford.edu/projects/gpspaper/gps_full.pdf,Sergey Levine|Vladlen Koltun,This paper|as well as its successors|try to make learning complex behaviors from experience more tractable where only little data is available (which is of course a common situation for learning robots). In particular|I like that the paper combines well-established planning methods that have long been studied in AI and robotics with learning methods to establish a new procedure that combines advantages from both worlds.,2013,International Conference on Machine Learning
92,using inaccurate models in reinforcement learning,1,https://ai.stanford.edu/~ang/papers/icml06-usinginaccuratemodelsinrl.pdf,Pieter Abbeel|Morgan Quigley|Andrew Y. Ng,This is another example that tries to make (usually data-inefficient) reinforcement learning techniques more feasible on real systems. While many techniques have been proposed to use simulators to train robot behaviors|this paper stands out to me in that it combines very pragmatic observations (we need simulators to learn complex behaviors|but they are often inaccurate)|with precise theoretical insights into RL algorithms.,2006,International Conference on Machine Learning
93,model learning for robot control: a survey,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.438.8621&rep=rep1&type=pdf,Duy Nguyen-Tuong|Jan Peters,The only non-RL paper on my list :). Modelling of robots is part of both very classical control approaches as well as modern learning approaches. There are many excellent papers|I chose this one for providing a wide overview. One of my favourite papers on this topic|by the same authors|included in this survey combines insights from analytic modelling (allowing fast identification of a small set of parameters) with Gaussian process modelling (allowing precise and flexible modelling|but at the cost of requiring more data). I chose this survey instead|as it provides a wider overview and is thus something I would be more likely to suggest to a student or mentee to get a wider overview.,2011,Cognitive Science
94,a brief survey of deep reinforcement learning,1,https://arxiv.org/abs/1708.05866,Kai Arulkumaran|Marc Peter Deisenroth|Miles Brundage|Anil Anthony Bharath,This comprehensive survey greatly covers the field of deep reinforcement learning approaches and algorithms. It is written to be accessible to the wide audience and generally easy to understand.,2017,IEEE Signal Processing Magazine
